data.id,data.iata_type,data.airplane_id,data.airline_iata_code,data.iata_code_long,data.iata_code_short,data.airline_icao_code,data.construction_number,data.delivery_date,data.engines_count,data.engines_type,data.first_flight_date,data.icao_code_hex,data.line_number,data.model_code,data.registration_number,data.test_registration_number,data.plane_age,data.plane_class,data.model_name,data.plane_owner,data.plane_series,data.plane_status,data.production_line,data.registration_date,data.rollout_date
4258248,"EMB190-100",63,"2L","E190","E90","","19000294",2009-06-09 00:00:00.000,2,"JET","2000-09-04T22:00:00.000Z","4B19F4",,"EMB 190-100LR","HB-JVO","",17,1,"Emb-190","Bernina Aircraft Leasing","100LR","active","Embraer EMB-190/EMB-","2015-03-26T23:00:00.000Z","2000-09-04T22:00:00.000Z"
4258249,"EMB190-100",64,"2L","E190","E90","","19000387",2010-10-06 00:00:00.000,2,"JET","2000-10-08T22:00:00.000Z","4B19F5",,"EMB 190-100LR","HB-JVP","",17,1,"Emb-190","Bernina Aircraft Leasing","100LR","active","Embraer EMB-190/EMB-","2015-04-27T22:00:00.000Z","2000-10-08T22:00:00.000Z"
4258250,"EMB190-100",65,"2L","E190","E90","","19000420",2011-03-16 00:00:00.000,2,"JET","2011-02-14T23:00:00.000Z","4B19F6",,"EMB 190-100LR","HB-JVQ","",6,1,"Emb-190","Bernina Aircraft Leasing","100LR","active","Embraer EMB-190/EMB-","0000-00-00",""
4258251,"EMB190-100",66,"2L","E190","E90","","19000435",2011-05-05 00:00:00.000,2,"JET","","4B19F7",,"EMB 190-100LR","HB-JVR","",,1,"Emb-190","","100LR","active","Embraer EMB-190/EMB-","2015-06-30T22:00:00.000Z",""
4258252,"ATR72-200",67,"2N","AT72","AT7","","307",1992-06-30 00:00:00.000,2,"TURBOPROP","1992-05-05T22:00:00.000Z","505EC3",,"ATR72-202","OM-VRC","",25,,"ATR 72","Danube Wings","202","inactive","ATR 42/72","2009-06-26T22:00:00.000Z","1992-04-25T22:00:00.000Z"
4258253,"S340 A",68,"2N","SF34","SF3","","156",1989-08-16 00:00:00.000,2,"TURBOPROP","1989-06-27T22:00:00.000Z","4A8155",,"S340A","SE-ISE","",28,,"340","Golden Air Flyg AB","A","active","Saab 340","1999-08-09T22:00:00.000Z","0000-00-00"
4258254,"S340 B",69,"2N","SF34","SFB","","164",1989-10-25 01:00:00.000,2,"TURBOPROP","1989-09-21T22:00:00.000Z","4AAF07",,"S340B","SE-KXG","",28,,"340","Golden Air Flyg AB","B","inactive","Saab 340","2006-03-03T23:00:00.000Z","0000-00-00"
4258255,"S340 B",70,"2N","SF34","SFB","","176",1990-02-01 00:00:00.000,2,"TURBOPROP","1989-12-21T23:00:00.000Z","4AAF09",,"S340B","SE-KXI","",27,,"340","Golden Air Flyg AB","B","active","Saab 340","2006-09-04T22:00:00.000Z","0000-00-00"
4258256,"S340 A",71,"2N","SF34","SF3","","112",1988-02-09 00:00:00.000,2,"TURBOPROP","1987-12-20T23:00:00.000Z","4AB14D",,"S340A","SE-LJM","",29,,"340","AviTrans Nordic AB","A","active","Saab 340","2008-07-30T22:00:00.000Z","0000-00-00"
4258257,"S340 A",72,"2N","SF34","SF3","","114",1988-02-29 00:00:00.000,2,"TURBOPROP","1988-01-14T23:00:00.000Z","4AB14E",,"S340A","SE-LJN","",29,,"340","Air Aland","A","active","Saab 340","2008-07-30T22:00:00.000Z","0000-00-00"
4258258,"S340 B",73,"2N","SF34","SFB","","215",1990-12-07 00:00:00.000,2,"TURBOPROP","1990-10-10T23:00:00.000Z","4AB153",,"S340B","SE-LJS","",27,,"340","SG Finans A/S Norge","B","active","Saab 340","2007-05-15T22:00:00.000Z","0000-00-00"
4258259,"S340 B",74,"2N","SF34","SFB","","221",1991-01-18 00:00:00.000,2,"TURBOPROP","1990-11-22T23:00:00.000Z","4AB154",,"S340B","SE-LJT","",26,,"340","Sverigeflyg Leasing","B","active","Saab 340","2007-01-17T23:00:00.000Z","0000-00-00"
4258260,"BAe ATP",75,"2N","ATP","ATP","","2023",1990-05-12 00:00:00.000,2,"TURBOPROP","1990-04-30T22:00:00.000Z","4AB18F",,"BAe ATP","SE-LLO","",27,,"ATP","Arafart AB","","active","British Aerospace AT","2008-10-04T22:00:00.000Z","0000-00-00"
4258261,"S340 A",76,"2N","SF34","SF3","","141",1989-02-20 00:00:00.000,2,"TURBOPROP","1989-01-26T23:00:00.000Z","4A8197",,"S340A","SE-LMR","",28,,"340","Erik Thun AB Sweden","A","active","Saab 340","2000-09-12T22:00:00.000Z","0000-00-00"
4258262,"BAe ATP",77,"2N","ATP","ATP","","2040",1991-11-07 00:00:00.000,2,"TURBOPROP","1991-08-13T22:00:00.000Z","4AB42B",,"BAe ATP","SE-MAK","",26,,"ATP","","","active","British Aerospace AT","2008-07-09T22:00:00.000Z","0000-00-00"
4258263,"BAe ATP",78,"2N","ATP","ATP","","2045",1992-02-27 00:00:00.000,2,"TURBOPROP","1991-12-17T23:00:00.000Z","4AB42C",,"BAe ATP","SE-MAL","",25,,"ATP","","F","active","British Aerospace AT","2008-10-08T22:00:00.000Z","0000-00-00"
