data.id,data.gmt,data.city_id,data.iata_code,data.country_iso2,data.geoname_id,data.latitude,data.longitude,data.city_name,data.timezone
2098965,-9,85,"ADQ","US",5866583,57.79,-152.407222,"Kodiak","America/Anchorage"
2098966,-5,86,"ADR","US",4588718,33.45,-79.566666,"Andrews","America/New_York"
2098967,-6,87,"ADT","US",4529096,34.8,-96.666664,"Ada","America/Chicago"
2098968,3,88,"ADU","IR",,38.323826,48.42125,"Ardabil","Asia/Tehran"
2098969,-5,89,"ADW","US",,38.816666,-76.86667,"Camp Springs","America/New_York"
2098970,,90,"ADX","GB",2644581,56.36667,-2.866667,"St Andrews","Europe/London"
2098971,2,91,"ADY","ZA",981827,-22.666668,29.05,"Alldays","Africa/Johannesburg"
2098972,-5,92,"ADZ","CO",3670218,12.586047,-81.70221,"San Andres Island","America/Bogota"
2098973,12,93,"AEA","KI",,0.483333,173.85,"Abemama Atoll","Pacific/Tarawa"
2098974,8,94,"AEB","CN",1794330,23.71947,106.96777,"Baise","Asia/Shanghai"
2098975,-9,95,"AED","US",5879155,58.033333,-152.9,"Aleneva","America/Anchorage"
2098976,3,96,"AEE","SS",,10.05667,32.96096,"Adareil","Africa/Juba"
2098977,7,97,"AEG","ID",1214618,1.399722,99.416664,"Aek Godang","Asia/Jakarta"
2098978,1,98,"AEH","TD",,13.851389,20.850834,"Abeche","Africa/Ndjamena"
2098979,1,99,"AEI","ES",2522013,36.1289,-5.441301,"Algeciras","Europe/Madrid"
2098980,10,100,"AEK","PG",2100468,-7.366667,146.28334,"Aseki","Pacific/Port_Moresby"
