Time,Title,Memory,Color,Status,Warranty,Price,Link
2025-02-09_12,"Apple MacBook Pro 15″ Touch Bar 2018, i7 2.6 GHz, 16 GB, AMD Radeon Pro 560X",512 GB,Silver,Jó,2 év,250990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-15-touch-bar-2018-i7-2-6-ghz-16-gb-amd-radeon-pro-560x-512gb-silver/75268637/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 1.4 GHz, 16 GB, Iris Plus Graphics 645",128 GB,Space Gray,Jó,2 év,249990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-1-4-ghz-16-gb-iris-plus-graphics-645-128gb-space-gray/75269164/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 15″ Touch Bar 2018, i7 2.2 GHz, 16 GB, AMD Radeon Pro 555X",256 GB,Silver,Nagyon jó,2 év,243990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-15-touch-bar-2018-i7-2-2-ghz-16-gb-amd-radeon-pro-555x-256gb-silver/75268633/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2018, i7 2.7 GHz, 16 GB, Intel Iris Plus Graphics 655",256 GB,Space Gray,Kiváló,2 év,243990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2018-i7-2-7-ghz-16-gb-intel-iris-plus-graphics-655-256gb-space-gray/75269633/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 1.4 GHz, 8 GB, Iris Plus Graphics 645",128 GB,Space Gray,Újszerű,2 év,239990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-1-4-ghz-8-gb-iris-plus-graphics-645-128gb-space-gray/75268648/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 1.4 GHz, 8 GB, Iris Plus Graphics 645",128 GB,Silver,Kiváló,2 év,231990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-1-4-ghz-8-gb-iris-plus-graphics-645-128gb-silver/75268650/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Air 13″ 2020, M1 8 Cores, 8 GB, 7 core GPU",256 GB,Space Gray,Jó,2 év,230990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2020-m1-8-cores-8-gb-7-core-gpu-256gb-space-gray/75268682/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Air 13″ 2020, M1 8 Cores, 8 GB, 7 core GPU",256 GB,Silver,Jó,2 év,230990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2020-m1-8-cores-8-gb-7-core-gpu-256gb-silver/75268683/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Air 13″ 2020, M1 8 Cores, 8 GB, 7 core GPU",256 GB,Gold,Jó,2 év,230990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2020-m1-8-cores-8-gb-7-core-gpu-256gb-gold/75268684/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 15″ Touch Bar 2017, i7 2.9 GHz, 16 GB, AMD Radeon Pro 560",512 GB,Silver,Jó,2 év,214990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-15-touch-bar-2017-i7-2-9-ghz-16-gb-amd-radeon-pro-560-512gb-silver/75268619/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2017, i7 2.5 GHz, 16 GB, Intel Iris Plus Graphics 640",128 GB,Space Gray,Nagyon jó,2 év,207990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2017-i7-2-5-ghz-16-gb-intel-iris-plus-graphics-640-128gb-space-gray/75269435/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2018, i5 2.3 GHz, 8 GB, Intel Iris Plus Graphics 655",256 GB,Space Gray,Nagyon jó,2 év,206990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2018-i5-2-3-ghz-8-gb-intel-iris-plus-graphics-655-256gb-space-gray/75268626/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2017, i7 2.5 GHz, 16 GB, Intel Iris Plus Graphics 640",256 GB,Space Gray,Nagyon jó,2 év,205990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2017-i7-2-5-ghz-16-gb-intel-iris-plus-graphics-640-256gb-space-gray/75269396/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2017, i5 3.3 GHz, 16 GB, Intel Iris Plus Graphics 650",512 GB,Space Gray,Jó,2 év,194990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2017-i5-3-3-ghz-16-gb-intel-iris-plus-graphics-650-512gb-space-gray/75269608/?shape=J%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2017, i5 2.3 GHz, 16 GB, Intel Iris Plus Graphics 640",128 GB,Space Gray,Nagyon jó,2 év,161990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2017-i5-2-3-ghz-16-gb-intel-iris-plus-graphics-640-128gb-space-gray/75269428/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2017, i5 2.3 GHz, 8 GB, Intel Iris Plus Graphics 640",128 GB,Silver,Kiváló,2 év,150990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2017-i5-2-3-ghz-8-gb-intel-iris-plus-graphics-640-128gb-silver/75268602/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ 2017, i5 2.3 GHz, 8 GB, Intel Iris Plus Graphics 640",128 GB,Space Gray,Nagyon jó,2 év,145990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-2017-i5-2-3-ghz-8-gb-intel-iris-plus-graphics-640-128gb-space-gray/75268600/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Air 13″ 2017, i5 1.8 GHz, 8 GB, HD Graphics 6000",128 GB,Silver,Nagyon jó,2 év,107990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-air-13-2017-i5-1-8-ghz-8-gb-hd-graphics-6000-128gb-silver/75268595/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 2.4 GHz, 8 GB, Intel Iris Plus Graphics 655",256 GB,Space Gray,Újszerű,2 év,291990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-2-4-ghz-8-gb-intel-iris-plus-graphics-655-256gb-space-gray/75268656/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 2.4 GHz, 8 GB, Intel Iris Plus Graphics 655",256 GB,Silver,Újszerű,2 év,291990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-2-4-ghz-8-gb-intel-iris-plus-graphics-655-256gb-silver/75268658/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2020, i5 2 GHz, 16 GB, Intel Iris Plus Graphics",512 GB,Silver,Nagyon jó,2 év,289990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2020-i5-2-ghz-16-gb-intel-iris-plus-graphics-512gb-silver/75268702/?shape=Nagyon%20j%C3%B3
2025-02-09_12,"Apple MacBook Pro 13″ Touch Bar 2019, i5 2.4 GHz, 16 GB, Intel Iris Plus Graphics 655",256 GB,Space Gray,Újszerű,2 év,289990,https://www.rejoy.hu/hu/shop/apple/laptopok-apple-macbook-pro-13-touch-bar-2019-i5-2-4-ghz-16-gb-intel-iris-plus-graphics-655-256gb-space-gray/75269401/?shape=%C3%9Ajszer%C5%B1
